reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
595da86c-acc1-4a64-ae43-90ff85eaf53d,Bunda Al,https://play-lh.googleusercontent.com/a/ACg8ocIIYfeuhPRuz3Ss9AXNwlYGK3qa3RvFDX5g5edHAgMkfEZxpw=mo,terlalu terlalu terlalu... apk yg tidak bisa di percaya. kuota cepat abis minta update terus. tp bug tmbah banyak. hp jd lelet !!!.. kok bisa nyuri data pribadi ya... diliat dari apk yg terus berjln dilatar belakang dan terus mengirim data. tp g tau data ap yg dikirim ?? wah wah wah... bahaya bobol bisa atm wkwkwk,1,1,4.31.1,2022-04-21 13:37:07,"Hai, mohon maaf atas kendala yang kamu alami. Mengenai kendala tersebut, silakan laporkan melalui email ke customerservice@go-jek.com dengan melampirkan kode psr-22-112-0133-51987 pada subject email agar tim kami bisa bantu cek lebih lanjut. ^Viska",2022-04-22 01:33:31,4.31.1
b224948a-a6b1-4c9e-b2d6-c8ed310f31bc,rizka Sanana,https://play-lh.googleusercontent.com/a-/ALV-UjUppblYL70hZqz6xHfbAFzwNfqU9q3un8LhdYKxpWYk3Sqvwhkemw,"Aplikasi recomended, membantu sekali ketika tdk bisa membeli sesuatu yang dibutuhkan, mengantar barang dan lain-lain, tinggal nunggu dirumah, pesanan tiba. Dan banyak diskon harga/ongkir yang cukup hemat, seperti diskon ongkir 60% maksimal 20rb untuk go food.",5,31,5.13.1,2025-03-16 13:29:13,,,5.13.1
6664ccb0-46f6-4c44-82da-8a49b197e723,Vivi Sugiarto,https://play-lh.googleusercontent.com/a/ACg8ocLzbuGZVoE24Z8y0YwR50oIsz82UfhRYQhj5Ar83F-xrmbnLQ=mo,"mohon untuk dilakukan perbaikan sistem, training, dan SOP lebih baik lagi: -Beberapa kali saya mendapat pengalaman mengecewakan selama menggunakan aplikasi, tetapi tidak sampai hati memberi rating yang rendah kepada driver yang kurang ramah dan tidak sesuai sop karena rating rendah justru membuat orderan sepi. -Resto tutup tapi ditulis buka -Titik alamat salah -gocar/goride hemat sering ditolak karena kompensasi driver sangat kecil (hemat untuk pembeli tapi menyulitkan driver)",2,15,5.13.1,2025-03-15 17:06:05,"Hai Kak Vivi, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Driver kurang sopan"" pada kolom pencarian ya. ^Maura",2025-03-15 23:10:26,5.13.1
c6e1e0e5-06e5-49a8-82b3-c5cda42d0156,prabandaru koesworo,https://play-lh.googleusercontent.com/a-/ALV-UjUmgs8bL_GTCEh2Ca5PaoV8A3QRF6SOlxn9ibbCSa4km2BbSeoD,"Ini aplikasi jangan pake gopaynya, gopaynya makan banyak biaya admin, dompek digital lain (dana 0 admint), bukan promosi, tapi efisiensi, dengan pengalaman yang jauh lebih simple dan sederhana, sering ngebug gopay, makanya goto ambles Aplikasi dalam negeri harusnya bisa lebih simple, sudah sempat mau pesan tapi kena kendala tombol menunya yang gak jelas",1,139,5.11.1,2025-02-28 08:46:02,"Hai Kak Prabandaru, mohon maaf atas ketidaknyamanannya. Kami informasikan setiap transaksi/penarikan saldo GoPay memiliki biaya admin, hal tersebut sudah menjadi kebijakan dari GoPay ya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi GoPay kamu atau email ke customerservice@gopay.co.id. ^Melisa",2025-02-28 09:56:15,5.11.1
36393e39-85d6-48ac-be05-7a5c60cdf99d,blesseeker _,https://play-lh.googleusercontent.com/a/ACg8ocJhjH5WyIb4XDBz4vudwEkzyUrY8MT7mao0BfQSs00ftEMR=mo,"Maps error, saat mau order gofood sudah input alamat dan titik yang sesuai, eh pas driver mau nganter alamat nya malah berubah entah kemana, CS slow respon, pusat bantuan ribet, udah dijelasin panjang lebar via chat malah nanya lagi via email, cape dehhh 👎👎👎👎👎👎",1,31,5.12.1,2025-03-07 11:35:34,"Hai Kak @Blesseeker _, mohon maaf atas ketidaknyamanannya. Jika kamu masih mengalami kendala, silakan laporkan melalui email ke customerservice@gojek.com dengan melampirkan kode psr-25-066-1235-04339 pada subject email dan cantumkan nomor laporan kamu sebelumnya pada email yang kamu kirimkan. Kami tunggu detail laporan kamu ya. ^Melisa",2025-03-07 12:35:32,5.12.1
b8dc11d8-da7b-4be4-b14c-2bbd8e1900d7,Riris Listya,https://play-lh.googleusercontent.com/a-/ALV-UjXd7EEQIAXl84NyFeeRgfZ3QyCP3M3SqM1CKP6b-iE4Ftll2keaEQ,"waktu tunggu kadang lama dan sangat telat. harusnya customer bisa komplain tapi komplain di siapa gak bisa chat siapapun. chat cs juga dikira cancel padahal bukan mau cancel, tp konfirmasi kok lama sekali nunggu sudah sejam lebih. bikin badmood. maaf tapi cs sama sekali tidak membantu. dan fyi setelah nunggu 1 jam lebih, dibatalkan sepihak sama penjualnya karena gak dapat driver. Buang2 waktu 👎🏻 gak pernah sesebel ini sama gofood",1,14,5.13.1,2025-03-15 14:19:49,"Hai Kak Riris, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Miko",2025-03-15 15:55:20,5.13.1
bc04824b-483f-4c25-8b13-652df4889aa0,Ridwan Mono,https://play-lh.googleusercontent.com/a/ACg8ocI7-lW_p9SBZT2zqnfYMJ1SORLAyD8vCE3qd2JLH73CF_7Mjw=mo,"Benar2 membantu. Cuma kadang2 apk-nya suka error, padahal pencarian buat memesan sudah di batalkan tapi kadang2 ada driver yang menerima pesanannya dan harus di batalkan pesenannya. Saya nggak enak sama drivernya, udah jauh2 mau jemput malahan di batalkan.",5,807,5.9.1,2025-02-09 02:34:44,,,5.9.1
e475dc85-1e30-4f38-ab58-2f48fd191d34,Desy Adela,https://play-lh.googleusercontent.com/a-/ALV-UjVFF44XqPNzZeJFdceBQejdS3t88RtZavi99YyO5SJCY9QGv7sq,"Pesan gosend sampai 2 jam Pertama, pesan sudah dapat driver tapi gak gerak-gerak, dihubungi juga susah Kedua, sampai mencoba ganti driver lagi, ternyata sama gak gerak dan susah dihubungi Ketiga, sampai dibatalkan beberapa kali gara-gara gak gerak dan susah dihubungi drivernya padahal jaraknya ada yang hanya 1 menit dari posisi si driver ke lokasi Ke empat, giliran udah dapat, tetap aja lama sampai ke lokasinya padahal di aplikasi hanya kurang dari 10 menit Total 2 jam bisa sampai selesai",1,74,5.10.1,2025-02-22 09:51:52,"Hai Kak Desy, mohon maaf atas kendalanya. Pastikan kamu sudah menggunakan aplikasi Gojek versi terbaru, ya. Jika masih berkendala, silakan laporkan melalui halaman Bantuan > ketik ""Kendala tampilan dan notifikasi"" di kolom pencarian > pilih artikel dan lengkapi formulirnya. Kami siap membantu. ^Miko",2025-02-22 10:17:08,5.10.1
0f5f4b8c-c4e7-44e5-b815-0bde16c54477,fatma dewi,https://play-lh.googleusercontent.com/a/ACg8ocJYOjZNZbMvNmlFKRcNKLLhrls3PbD_fymEp0k0lXbc3PvVWQ=mo,"Untuk pemesanan gofood waktunya tambah lama ditambah pesanan yang katanya telat, jadi nunggu 1 jam-an. Untuk pesanan kali ini tiba2 resto chat buat ambil pesanan karena sudah siap (sudah dapat driver tiba-tiba cancel) Buat apa pesan gofood dengan pilihan pesan antar kalau harus pick up sendiri😮‍💨Dan sering juga pesan gofood toko sudah tutup, tiidak ada info. Jadi butuh waktu lagi. Atau sering juga, menu habis tidak ada info juga.",5,647,5.11.1,2025-02-21 01:36:24,,,5.11.1
fbfc42b8-1103-43ed-aad0-d35e5eed65f1,Vebe Wedia,https://play-lh.googleusercontent.com/a/ACg8ocJ6AGXhSP0LQa_ftg0kxb09jQuLd4CKHccPYiWURlN8dV4h5g=mo,1. Interface jelek (no two way communication dengan resto sehingga sangat susah untuk mengurus pergantian. Bbrp resto juga tidak dapat dihubungi) 2. Sangat susah untuk memberi feedback dan meminta bantuan ke CS gojek nya terutama saat terjadi kesalahan di pemesanan. CS hanya kirim pesan tidak penting seolah olah tidak benar benar diurus. 3. Paling tidak kalau memang susah u /meminta bantuan dipermudah dari kami u/ cancel dan pesan ulang. Masa waktu untuk cancel hanya 5 detik lalu tidak bisa lg,1,26,5.8.1,2025-02-23 04:40:53,"Hai Kak Vebe, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maura",2025-02-23 05:03:18,5.8.1
